univ_name,year,median_oa_perc
University of Brasília,2012-01-01,0.06666666666666667
University of Brasília,2013-01-01,0.07692307692307693
University of Brasília,2014-01-01,0.09523809523809523
University of Brasília,2015-01-01,0.10526315789473684
University of Brasília,2016-01-01,0.13636363636363635
University of Brasília,2017-01-01,0.16129032258064516
University of Caxias do Sul,2007-01-01,0.07692307692307693
University of Caxias do Sul,2008-01-01,0.027777777777777776
University of Caxias do Sul,2009-01-01,0.05
University of Caxias do Sul,2010-01-01,0.046536796536796536
University of Caxias do Sul,2011-01-01,0.06612021857923497
University of Caxias do Sul,2012-01-01,0.05
University of Caxias do Sul,2013-01-01,0.06173780487804878
University of Caxias do Sul,2014-01-01,0.0625
University of Caxias do Sul,2015-01-01,0.05263157894736842
University of Caxias do Sul,2016-01-01,0.09375
University of Caxias do Sul,2017-01-01,0.09605263157894736
University of São Paulo,2007-01-01,0.058823529411764705
University of São Paulo,2008-01-01,0.06666666666666667
University of São Paulo,2009-01-01,0.075
University of São Paulo,2010-01-01,0.08108108108108109
University of São Paulo,2011-01-01,0.09302325581395349
University of São Paulo,2012-01-01,0.10526315789473684
University of São Paulo,2013-01-01,0.11538461538461539
University of São Paulo,2014-01-01,0.1282051282051282
University of São Paulo,2015-01-01,0.15151515151515152
University of São Paulo,2016-01-01,0.1724137931034483
University of São Paulo,2017-01-01,0.2
